model,E,regime,N_star,N,ais_lag1,ais_lag2,ais_lag3,h_target,normalized,adequacy
linear,3.442,plateau,5.589,21,nan,nan,nan,nan,nan,33600.0
linear,3.442,plateau,5.589,22,nan,nan,nan,nan,nan,35200.0
linear,3.442,plateau,5.589,23,nan,nan,nan,nan,nan,36800.0
linear,3.442,plateau,5.589,24,nan,nan,nan,nan,nan,38400.0
linear,34.25,rise,10.929,2,nan,0.16416344277013944,0.16604592813062807,nan,nan,457.14285714285717
linear,34.25,rise,10.929,3,0.12356223851633986,0.12477385577490367,0.12546578026825222,0.25816708288814,0.4786134511574334,533.3333333333334
linear,34.25,rise,10.929,4,0.10360595904414198,0.10398256079392217,0.10486510486535282,0.23264998841508855,0.44532974082633825,800.0
linear,34.25,rise,10.929,5,0.09350766274592727,0.09638549959202902,0.09803489173031055,0.2109109146881305,0.4433514637409594,800.0
linear,34.25,rise,10.929,6,0.12674505810527503,0.12851064897173065,0.12938993481938096,0.26226110469749303,0.4832781370743864,800.0
linear,34.25,rise,10.929,7,0.2046277608401338,0.20618245804200694,0.20697385539514312,0.39928849555052953,0.512480983350141,933.3333333333334
linear,34.25,rise,10.929,8,0.2835180005621084,0.2884222187764816,0.29003458248968284,0.555195921734995,0.5106629740292593,914.2857142857143
linear,34.25,rise,10.929,9,1.1410938413846758,1.1541185225655528,1.1567916207694464,1.705849057331584,0.668930135688359,1028.5714285714287
linear,34.25,rise,10.929,10,0.2902663867704694,0.29548180389078604,0.29683790866692333,0.571350457318868,0.5080356251617965,1230.7692307692307
linear,34.25,rise,10.929,11,nan,0.09468571494587166,0.09530710797248888,nan,nan,2514.285714285714
linear,34.25,rise,10.929,12,nan,0.03792984138787594,0.03820771569979772,nan,nan,2742.8571428571427
linear,34.25,rise,10.929,13,nan,0.018200838892857955,0.01832941968094766,nan,nan,5200.0
linear,34.25,rise,10.929,14,nan,nan,0.002974387730740028,nan,nan,5600.0
linear,34.25,rise,10.929,15,nan,nan,nan,nan,nan,8000.0
linear,34.25,rise,10.929,16,nan,nan,nan,nan,nan,6400.0
linear,34.25,rise,10.929,17,nan,nan,nan,nan,nan,27200.0
linear,34.25,rise,10.929,18,nan,nan,nan,nan,nan,28800.0
linear,34.25,rise,10.929,19,nan,nan,nan,nan,nan,30400.0
